reg_type,addr,descrip
U16,1,Bit #0 – (E)EPROM checksum failure
U16,2,Bit #1 – Transmitter Configuration Changed (HART bit)
U16,3,Bit #2 – Sensor failure (419 bit 3)
U16,4,Bit #3 – Temperature sensor failure (419 bit 4)
U16,5,Bit #4 – Input overrange (420 bit 12)
U16,6,Bit #5 – Frequency Output Saturated (420 bit 13)
U16,7,Bit #6 – Transmitter not configured (420 bit 14)
U16,8,Bit #7 – Real‑time interrupt failure (420 bit 15)
U16,9,"Bit #8 – Milliamp output(s) saturated (420, bit 0 or 1)"
U16,10,"Bit #9 – Milliamp output(s) fixed (420, bit 2 or 3)"
U16,11,Bit #10 – Density out of limits (420 bit 4)
U16,12,Bit #11 – Zeroing operation failure (419 bit 5)
U16,13,Bit #12 – Transmitter electronics failure (421 bit 12)
U16,14,Bit #13 – Slug flow (421 bit 15)
U16,15,Bit #14 – Transmitter Initializing/ Warming Up (Low Power Fault) (421 bit 2)
U16,15,Bit #15 – Power reset occurred (421 bit 1)
U16,16,Mass flow rate (Scaled Int)
U16,17,Density (Scaled Int)
U16,18,Temperature (Scaled Int)
U16,19,Volume flow rate (Scaled Int)
U16,20,Viscosity (Scaled Int)
U16,21,Pressure (Scaled Int)
U16,22,Mass total (Scaled Int)  (Writing to this register clears this total) (Read only for RFT9739)
U16,23,Volume total (Scaled Int) (Writing to this register clears this total)  (Read only for RFT9739)
U16,24,Mass inventory (Scaled Int) (Writing to this register clears all inventories)  (Read only for RFT9739)
U16,25,Volume inventory (Scaled Int)  (Writing to this register clears all inventories)  (Read only for RFT9739)
U16,26,Primary milliamp output variable (PV)
U16,27,Secondary milliamp output variable (SV)
U16,28,Frequency/pulse #1 output variable (TV)
U16,29,Quaternary variable (QV)
U16,30,RFT9739 control output variable
U16,31,"Transmitter software revision – (xxxx.x format, e.g.,  141 means rev 14.1)"
U16,32,"Flow direction  (see flow direction codes)  Gen5- Write Only, if written will attempt to initialize all the Gen5 specific direction registers accordingly"
U16,33,Maximum integer
U16,34,Mass flow offset
U16,35,Density offset
U16,36,Temperature offset
U16,37,Volume flow offset
U16,38,Viscosity offset
U16,39,Pressure Offset
U16,40,Mass total offset
U16,41,Volume total offset
U16,42,Mass inventory offset
U16,43,Volume inventory offset
U16,44,Mass flow scale factor
U16,45,Density scale factor
U16,46,Temperature scale factor
U16,47,Volume flow scale factor
U32,48,Viscosity scale factor
,49,Pressure Scale Factor
U8,50,Mass total scale factor
U16,51,Volume total scale factor
A8,52,Mass inventory scale factor
,53,Volume inventory scale factor
,54,Standard or special mass flow rate unit
,55,Density unit
A8,56,Temperature unit
,57,Standard or special volume flow rate unit
,58,Viscosity unit
,59,Pressure unit
A8,60,Standard or special mass total/inv unit (derived from the mass rate unit)
,61,Standard or special volume total/inv unit (derived from the vol. rate unit)
,62,Hart Slave Address
,63,Final assembly number       NOTE: HART supports only the lower three bytes and
A8,64,as such ProLink v2.8 Device tab (Transmitter Serial) displays the lower 24 bits
,65,Fixed Date Low order byte: day
,66,Fixed Date High order byte: month
,67,"Low order byte: year (1900+X assumed, will work until 2156)"
A8,68,Special mass flow unit string
,69,"52-55 Used by NOC ETO for 800 and 2700 8.0 with PVR enabled as a ""textual user flag field"""
,70,
,71,
A16,72,Special mass total (or inventory) unit string
,73,Special mass total (or inventory) unit string
,74,Special mass total (or inventory) unit string
,75,Special mass total (or inventory) unit string
,76,Special volume flow unit string
,77,Special volume flow unit string
,78,Special volume flow unit string
,79,Special volume flow unit string
A16,80,Special volume total (or inventory) unit string
,81,Special volume total (or inventory) unit string
,82,Special volume total (or inventory) unit string
,83,Special volume total (or inventory) unit string
,84,Tag
,85,Tag
,86,Tag
,87,Tag
A16,88,Flow calibration factor
,89,Flow calibration factor
,90,Flow calibration factor
,91,Temperature coefficient for flow
,92,Temperature coefficient for flow
,93,Space character (optional)
,94,Space character (optional)
,95,Space character (optional)
A16,96,Temperature calibration slope
,97,Temperature calibration slope
,98,Temperature calibration slope
,99,Temperature calibration slope
,100,Temperature calibration offset
,101,Temperature calibration offset
,102,Temperature calibration offset
,103,Space character (optional)
A32,104,Viscosity calibration factor
,105,Viscosity calibration factor
,106,Viscosity calibration factor
,107,Viscosity calibration factor
,108,Viscosity calibration factor
,109,Viscosity calibration factor
,110,Viscosity calibration factor
,111,Space character (optional)
,112,Description
,113,
,114,
,115,
,116,
,117,
,118,
,119,
U16,120,User message
U16,121,
U24,122,
,123,
U16,124,
U16,124,
U16,125,
U16,126,
U32,127,
,128,
